Name
'Loc Prince
Archimonde
Arid Atrocity
Bountiful Bedrock
Cadaver Caretaker
Catacomb Crasher
Clunker Junker
Crow's Nest Sentry
Cruise Controller
Depraved Felfin
Fairy Gillmother
Fearless Foodie
Free Travel Winner
Ghoul-acabra
Gift Pilferer
Hot-Air Surveyor
Ice Fisher
Indomitable Mount
Inspiring Underdog
Jumping Jack
Karmic Chameleon
Lucky Egg
Mantid King
Mirage Conjurer
Moss of the Schloss
Mrglin' Burglar
Museum Mummy
One-Amalgam Tour Group
Parched Wanderer
Pilgrimp
Prime Mate
Putrid Pupil
Rapscallion Recruiter
Sky Pirate Flagbearer
Sleeping Sea Glass
Slippery Slider
Smoldering Gardener
Sun Screener
Three Lil' Quilboar
Thundering Abomination
Volcanic Visitor
Wannabe Gargoyle
